Provinsi,Kota/Kabupaten,Kecamatan
JAWA BARAT,DEPOK,PANCORAN MAS
JAWA BARAT,DEPOK,BEJI
JAWA BARAT,DEPOK,BOJONGSARI
JAWA BARAT,DEPOK,CILODONG
JAWA BARAT,DEPOK,CIMANGGIS
JAWA BARAT,DEPOK,CIPAYUNG
JAWA BARAT,DEPOK,LIMO
JAWA BARAT,DEPOK,SAWANGAN
JAWA BARAT,DEPOK,SUKMAJAYA
JAWA BARAT,DEPOK,TAPOS
DKI JAKARTA,JAKARTA UTARA,KALIDERES
DKI JAKARTA,JAKARTA UTARA,KEMBANGAN
DKI JAKARTA,JAKARTA UTARA,GROGOL PETAMBURAN
DKI JAKARTA,JAKARTA UTARA,PENJARINGAN
DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK
DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG
DKI JAKARTA,JAKARTA PUSAT,MENTENG
DKI JAKARTA,JAKARTA PUSAT,SENEN
DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN
DKI JAKARTA,JAKARTA PUSAT,Sawah Besar
DKI JAKARTA,JAKARTA SELATAN,PANCORAN
DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN
DKI JAKARTA,JAKARTA SELATAN,TEBET
DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU
DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU
DKI JAKARTA,JAKARTA TIMUR,CAKUNG
DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG
DKI JAKARTA,JAKARTA TIMUR,JATINEGARA
DKI JAKARTA,JAKARTA TIMUR,MAKASAR
DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI
DKI JAKARTA,JAKARTA TIMUR,PASAR REBO
DKI JAKARTA,JAKARTA TIMUR,CIRACAS
DKI JAKARTA,JAKARTA TIMUR,SETIABUDI
JAWA BARAT,BANDUNG,BUAH BATU
JAWA BARAT,BANDUNG,COBLONG
JAWA BARAT,BANDUNG,ASTANA ANYAR
JAWA BARAT,BANDUNG,ANTAPANI
JAWA BARAT,BANDUNG,REGOL
JAWA BARAT,BANDUNG,LENGKONG
JAWA BARAT,BANDUNG,MEKAR MULYA
JAWA BARAT,BANDUNG RAYA,CIMAHI UTARA
JAWA BARAT,BANDUNG RAYA,CIMAHI TENGAH
JAWA BARAT,BANDUNG RAYA,CIMAHI SELATAN
JAWA BARAT,KABUPATEN BOGOR,DRAMAGA
JAWA BARAT,KABUPATEN BOGOR,CIAMPEA
JAWA BARAT,KABUPATEN BOGOR,TANAH SEREAL
JAWA BARAT,KOTA BOGOR,BOGOR UTARA
JAWA BARAT,KOTA BOGOR,BOGOR TENGAH
JAWA BARAT,KOTA BOGOR,BOGOR SELATAN
JAWA BARAT,KOTA BOGOR,BOGOR TIMUR
JAWA BARAT,KOTA BOGOR,BOGOR BARAT
JAWA BARAT,KABUPATEN BEKASI,CIKARANG UTARA
JAWA BARAT,KABUPATEN BEKASI,CIKARANG SELATAN
JAWA BARAT,KABUPATEN BEKASI,TAMBUN SELATAN
JAWA BARAT,KABUPATEN BEKASI,TAMBUN UTARA
JAWA BARAT,KOTA BEKASI,BEKASI TIMUR
JAWA BARAT,KOTA BEKASI,BEKASI BARAT
JAWA BARAT,KOTA BEKASI,BEKASI UTARA
JAWA BARAT,KOTA BEKASI,BEKASI SELATAN
JAWA BARAT,KABUPATEN KARAWANG,KARAWANG BARAT
JAWA BARAT,KABUPATEN KARAWANG,KARAWANG TIMUR
JAWA BARAT,KABUPATEN PURWAKARTA,PURWAKARTA KOTA
JAWA BARAT,KABUPATEN SUBANG,SUBANG KOTA
JAWA TIMUR,SURABAYA,GUBENG
JAWA TIMUR,SURABAYA,WONOKROMO
JAWA TIMUR,SURABAYA,TEGALSARI
JAWA TIMUR,SURABAYA,KEBAYORAN LAMA
JAWA TIMUR,MOJOKERTO,GONDANG
JAWA TIMUR,MOJOKERTO,MOJOSARI
JAWA TIMUR,MOJOKERTO,TRMOJO
JAWA TIMUR,BOJONEGORO,GONDANG
JAWA TIMUR,BOJONEGORO,BOJONEGORO KOTA
JAWA TIMUR,BOJONEGORO,KALITIDU
JAWA TENGAH,SEMARANG,SEMARANG TENGAH
JAWA TENGAH,SEMARANG,SEMARANG UTARA
JAWA TENGAH,SEMARANG,SEMARANG SELATAN
JAWA TENGAH,SEMARANG,SEMARANG TIMUR
JAWA TENGAH,SEMARANG,SEMARANG BARAT
DI YOGYAKARTA,KOTA YOGYAKARTA,GONDOMANAN
DI YOGYAKARTA,KOTA YOGYAKARTA,NGUPASAN
DI YOGYAKARTA,KOTA YOGYAKARTA,TEGALREJO
DI YOGYAKARTA,KOTA YOGYAKARTA,MANTRIJERAN
ACEH,BANDA ACEH,WOYLA
ACEH,BANDA ACEH,BAITURRAHMAN
ACEH,BANDA ACEH,KUTA ALAM
ACEH,BANDA ACEH,KUTA RAKYAT
ACEH,BANDA ACEH,MEURAXA
SUMATERA UTARA,MEDAN,MEDAN BARAT
SUMATERA UTARA,MEDAN,MEDAN TIMUR
SUMATERA UTARA,MEDAN,MEDAN UTARA
SUMATERA UTARA,MEDAN,MEDAN SELATAN
SUMATERA UTARA,MEDAN,MEDAN DELI
SUMATERA BARAT,PADANG,PADANG BARAT
SUMATERA BARAT,PADANG,PADANG TIMUR
SUMATERA BARAT,PADANG,PADANG UTARA
RIAU,PEKANBARU,SUKAJADI
RIAU,PEKANBARU,PEKANBARU KOTA
SUMATERA SELATAN,PALEMBANG,ILIR TIMUR I
SUMATERA SELATAN,PALEMBANG,ILIR TIMUR II
SUMATERA SELATAN,PALEMBANG,SEBERANG ULU I
