Provinsi,Kota/Kabupaten,Kecamatan,Kode Pos
JAWA BARAT,DEPOK,PANCORAN MAS,16431
JAWA BARAT,DEPOK,BEJI,16421
JAWA BARAT,DEPOK,BOJONGSARI,16516
JAWA BARAT,DEPOK,CILODONG,16415
JAWA BARAT,DEPOK,CIMANGGIS,16451
JAWA BARAT,DEPOK,CIPAYUNG,16437
JAWA BARAT,DEPOK,LIMO,16515
JAWA BARAT,DEPOK,SAWANGAN,16511
JAWA BARAT,DEPOK,SUKMAJAYA,16411
JAWA BARAT,DEPOK,TAPOS,16454
DKI JAKARTA,JAKARTA UTARA,KALIDERES,11810
DKI JAKARTA,JAKARTA UTARA,KEMBANGAN,11610
DKI JAKARTA,JAKARTA UTARA,GROGOL PETAMBURAN,11470
DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,10220
DKI JAKARTA,JAKARTA PUSAT,MENTENG,10310
DKI JAKARTA,JAKARTA SELATAN,PANCORAN,12780
DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,12320
DKI JAKARTA,JAKARTA TIMUR,CAKUNG,13910
JAWA BARAT,BANDUNG,BUAH BATU,40261
ACEH,BANDA ACEH,WOYLA,23381
JAWA TIMUR,BOJONEGORO,GONDANG,62119
JAWA TIMUR,MOJOKERTO,GONDANG,61362
