Provinsi,Kode Provinsi,Kota/Kabupaten,Kode Kota,Kecamatan,Kode Kecamatan (receiver_area)
JAWA BARAT,,DEPOK,,PANCORAN MAS,
JAWA BARAT,,DEPOK,,BEJI,
JAWA BARAT,,DEPOK,,SUKAJAYA,
JAWA BARAT,,DEPOK,,CIMANGGIS,
JAWA BARAT,,DEPOK,,TAPOS,
JAWA BARAT,,DEPOK,,PANcoran MAS,
JAWA BARAT,,DEPOK,,CIPAYUNG,
JAWA BARAT,,DEPOK,,LIMO,
JAWA BARAT,,DEPOK,,SAWANGAN,
JAWA BARAT,,DEPOK,,BOJongsari,
DKI JAKARTA,,JAKARTA UTARA,,KALIDERES,
DKI JAKARTA,,JAKARTA UTARA,,KEMBANGAN,
DKI JAKARTA,,JAKARTA UTARA,,GROGOL PETAMBURAN,
DKI JAKARTA,,JAKARTA PUSAT,,TANAH ABANG,
DKI JAKARTA,,JAKARTA PUSAT,,MENTENG,
DKI JAKARTA,,JAKARTA SELATAN,,PANCORAN,
DKI JAKARTA,,JAKARTA SELATAN,,PESANGGRAHAN,
DKI JAKARTA,,JAKARTA TIMUR,,CAKUNG,
